wagon_weight_in_ton,cargo_weight,Distance,dist_opt,Path_is_optimal
1392,1034,1733,4,1
697,1437,638,4,0
768,1568,2529,3,0
1002,747,2264,4,1
1187,1112,1963,4,1
1322,1174,548,3,1
669,541,138,3,1
1286,866,2722,3,0
1210,1292,1624,2,0
940,1182,438,5,0
884,555,696,5,0
526,915,1580,5,0
886,561,922,4,0
1397,413,2081,3,0
692,987,901,5,0
694,1174,2101,5,0
642,1185,937,5,1
898,406,683,3,0
1186,759,842,2,1
896,1591,2171,4,0
919,1299,1387,5,0
1178,1417,2745,3,1
1315,1565,342,2,1
1031,1350,1737,3,0
1437,1216,670,4,0
1483,1535,2580,4,1
767,419,1210,4,0
700,1227,1793,3,1
988,716,2758,4,1
1272,1286,2130,5,1
1365,1243,2743,2,1
718,497,1291,2,1
746,561,190,3,1
1440,1014,119,4,1
1043,1354,1590,3,1
524,902,704,2,1
516,1569,1004,3,0
1214,974,2237,2,1
545,1513,591,2,1
846,1312,2223,2,1
932,1168,1165,5,1
633,773,457,4,0
532,1592,2904,5,1
1000,431,543,4,0
695,1443,962,4,1
578,987,766,2,0
847,1483,2737,3,1
835,1093,1668,3,0
1243,1494,2959,2,0
554,783,1970,3,0
1235,1184,386,4,0
548,1455,660,2,1
1290,1148,799,2,1
1093,780,473,5,1
1404,464,557,4,1
705,781,1321,5,0
789,1385,1479,5,0
1251,1420,767,2,1
1005,1088,670,4,1
798,1584,2814,4,0
1199,1211,2100,4,1
1368,1206,1773,2,1
1420,1591,293,2,1
680,645,883,4,1
987,1227,697,2,1
744,866,311,3,0
1228,668,2474,4,0
845,1536,2329,3,1
540,1195,1135,2,0
808,794,375,4,0
926,606,2593,3,0
1397,1223,1292,2,0
955,565,147,2,0
604,1418,1653,2,1
1247,1471,1291,2,0
1366,981,313,4,0
1353,400,1612,2,1
823,1142,2110,5,1
680,1145,2058,3,1
1120,1453,1515,4,0
638,651,2392,4,0
607,1471,2378,3,1
718,1366,2986,5,1
922,991,539,2,0
644,841,1052,2,1
1449,845,1400,5,0
1337,1346,675,4,1
1298,499,1505,5,0
942,1367,2389,3,1
1432,592,2970,2,1
710,616,882,5,0
769,1424,939,4,0
717,842,2804,5,0
1316,1160,1239,5,0
659,640,1136,5,1
752,1367,2127,3,0
946,1196,1887,2,1
522,622,2244,5,0
702,1348,2664,3,1
1296,974,660,2,1
1437,753,1726,5,0
1095,523,1788,2,1
1025,1148,2349,5,0
623,1326,1647,2,1
1242,1020,1193,4,1
1351,1154,1055,4,0
1055,1192,213,5,1
1302,1196,1623,2,1
583,668,1712,5,1
765,486,1841,2,0
547,435,2281,4,1
1174,788,1643,2,0
1431,626,2840,4,0
832,1038,783,5,1
969,1590,2698,4,0
1300,487,128,5,0
812,1105,2005,5,0
801,569,1060,2,1
916,923,1638,3,1
1026,436,2566,3,0
939,515,2312,5,1
750,1089,1900,3,0
731,1406,1227,3,0
552,1282,153,5,0
799,1084,1389,2,1
1282,477,2073,4,1
726,1324,2285,5,1
1487,1586,2983,3,0
1133,1103,909,5,0
984,631,2905,4,0
519,1327,2501,3,0
585,854,371,3,1
695,538,1696,3,1
872,421,2825,3,1
1280,1553,1072,5,1
1268,1533,2636,2,1
979,1426,716,2,0
590,664,2026,4,0
678,923,911,4,1
528,787,2631,3,1
539,1163,2029,4,0
988,1534,1474,3,1
1272,1406,2572,2,0
1272,922,1392,4,0
795,1555,309,5,1
1427,808,941,2,0
854,638,1143,5,0
847,703,2373,4,0
1485,1294,856,3,1
522,830,726,3,0
1002,628,1961,4,1
1183,1416,382,3,1
1311,1506,1174,2,0
1493,818,2719,4,0
1077,717,230,2,0
707,921,2202,3,1
655,1505,2422,2,1
668,457,186,4,1
520,938,2127,3,0
1162,784,536,3,0
1219,1550,1139,5,0
591,1212,2610,5,1
631,1243,1098,3,1
1222,1516,2548,2,1
1499,1223,2339,5,0
781,1078,2030,4,1
1007,882,981,3,0
1243,876,1359,3,0
1357,1273,2107,4,1
935,785,2704,4,0
1406,1528,890,5,1
537,994,1266,3,0
616,745,962,2,0
1208,1439,2959,5,1
1050,930,1169,5,1
876,1107,2803,4,1
531,1012,1376,4,1
699,1504,1834,4,0
643,459,2879,2,1
1015,1269,1970,4,0
1338,1436,750,5,1
1141,1301,446,3,0
1397,732,1281,2,1
558,1170,1257,3,0
1385,700,1829,2,1
1019,1530,1144,2,1
537,646,305,5,1
694,1347,1340,2,0
668,519,1371,5,0
880,1357,2153,3,0
612,476,2446,5,1
1321,434,1243,2,1
1137,1377,1455,2,0
886,986,438,5,1
1499,532,815,4,1
1318,572,1770,2,0
643,782,2056,5,1
1078,1043,2927,5,1
1465,1006,233,3,0
1102,1313,197,2,0
1182,1272,135,5,0
500,1395,385,2,0
1341,1268,867,4,0
891,1480,2726,4,0
1163,1400,1829,5,1
700,1510,322,4,1
1431,1456,1481,2,0
1241,1115,465,5,0
1337,1349,1316,5,0
928,590,2602,4,1
1408,543,557,2,1
697,570,1862,2,0
1213,1018,938,5,0
1135,1069,1788,2,0
956,878,2399,2,0
1013,1169,2687,2,0
1127,1502,229,3,0
1139,750,2162,4,1
905,952,2003,4,0
1055,714,2428,2,1
689,968,877,4,1
1452,782,663,4,0
1351,896,1637,2,0
528,1586,1202,2,0
594,546,2900,3,1
1399,544,1746,3,0
659,1524,1666,3,0
1417,1564,2012,3,1
660,826,2651,2,1
850,924,2975,2,1
929,505,122,5,0
883,1408,1823,4,0
1449,1543,1275,4,0
1436,657,970,3,1
560,775,840,3,0
805,1280,2433,4,0
1252,1131,1522,3,1
780,558,2317,2,0
661,1038,1493,2,0
1237,758,2226,2,0
617,654,1443,3,1
791,1408,216,2,0
1331,889,2515,5,0
881,1300,1492,4,0
842,449,1658,5,0
513,981,1569,3,1
911,923,1069,2,0
853,1403,1967,5,1
867,813,1067,4,1
813,1590,2131,5,1
883,1559,955,5,1
815,472,2273,3,1
569,512,907,3,0
953,1181,1468,5,1
562,1416,456,3,0
538,497,359,5,1
522,1539,701,2,1
1491,1538,841,3,0
1499,873,1400,2,0
1471,425,200,3,0
683,1015,2467,2,0
822,645,1654,4,1
1452,814,2463,4,0
1232,1412,131,2,0
757,501,1026,2,0
1491,630,1046,5,1
1261,1369,1379,3,1
767,1275,1522,5,1
1201,950,1402,2,0
1130,1176,790,3,0
824,1078,666,3,0
1015,1405,276,5,1
617,1100,2756,4,0
1289,1245,1122,4,0
969,1223,1974,5,0
768,1074,1402,2,1
1167,1407,865,4,0
1029,677,1730,2,0
1033,1091,2798,4,0
810,683,2975,2,1
1075,1011,1950,4,1
1338,1083,1301,3,0
965,1390,2356,3,1
570,796,450,2,1
1293,1112,2940,3,1
1084,1598,966,4,0
1437,1284,1924,5,0
874,1462,2996,2,0
1220,908,1124,4,1
847,1483,349,2,1
572,1519,356,2,0
800,841,1490,5,1
1325,891,1128,5,0
1271,648,631,4,1
717,951,261,3,0
803,970,757,5,1
699,925,2121,4,0
672,900,548,2,0
701,1421,1382,5,1
1227,411,108,3,1
1486,1496,2341,3,1
956,592,1764,2,1
1359,1242,1993,4,0
701,688,2934,3,0
960,1511,2692,4,1
685,401,383,2,1
936,1100,2153,3,0
949,1024,2171,4,0
1128,612,771,2,0
967,585,310,3,0
735,1477,1858,5,0
1257,972,1015,3,0
744,1033,1808,5,0
904,894,2748,2,0
936,770,703,2,1
621,457,387,5,1
776,1015,1566,2,1
1404,732,2850,5,1
1232,982,1318,5,1
770,1402,2396,4,0
1034,488,2469,2,0
1223,865,1749,3,1
1073,1275,849,4,1
733,1070,813,2,1
983,1485,2476,3,1
734,627,1885,3,1
821,945,2319,4,1
581,1252,624,4,1
536,1080,2099,4,1
889,1453,2218,4,0
647,907,1109,5,0
1030,1469,1537,5,1
860,521,2725,3,0
832,540,198,3,0
791,1473,2984,2,0
1349,1215,1825,5,1
964,1035,2931,3,1
535,525,2709,5,0
676,1303,2810,4,0
838,1407,2658,3,0
1104,1126,1777,2,0
971,474,697,5,0
1234,1055,912,5,1
933,466,2480,5,1
810,1334,1655,5,1
1050,1531,2984,2,1
1035,1034,1898,3,0
967,737,1309,3,1
1469,828,2222,3,0
1292,1178,1560,3,0
1044,503,1197,5,0
843,951,1530,5,0
849,1580,2156,2,1
1400,1417,2693,3,1
760,1080,1819,3,0
1312,877,2075,2,1
1358,589,898,2,1
864,1047,664,2,1
730,1232,1022,3,1
594,1130,2017,5,1
637,1355,1820,4,0
948,887,2368,3,0
1266,1282,728,5,1
559,1483,149,5,0
884,949,2759,3,0
541,837,2479,2,1
1214,1437,213,5,1
1287,1329,1618,5,1
1055,505,2411,4,1
645,1447,2657,5,0
1346,937,2133,2,0
508,662,120,5,1
1464,1450,1864,4,1
1157,507,1206,5,1
1227,512,2731,5,0
1372,1095,422,2,1
1285,1179,1064,4,1
1219,730,1013,3,0
1042,614,119,2,1
619,525,2239,2,0
577,1386,1639,3,0
612,528,1702,2,0
934,853,2709,3,1
1054,1247,2283,4,0
1121,1320,2822,2,1
997,1417,176,2,1
1217,787,587,3,0
1122,461,2797,5,1
1251,1192,2083,5,1
601,1444,807,2,0
526,421,2851,4,1
622,1109,1263,4,0
764,431,358,4,0
1343,681,2399,3,0
837,404,475,4,1
1424,795,2027,3,1
910,906,1596,4,1
1177,793,1241,3,0
712,665,1408,3,1
1273,797,1224,2,1
1422,461,1335,2,1
813,1341,611,4,1
870,908,2669,3,0
646,840,890,3,0
1182,552,169,2,0
1477,1025,1713,5,0
1070,1063,2046,5,1
684,418,1467,2,1
884,573,1595,4,0
1192,1203,2603,4,1
1419,688,486,5,0
629,1493,1614,3,0
793,1339,1352,2,0
1225,1216,867,4,0
505,1517,2343,5,1
1134,1596,2409,4,0
649,1302,750,4,1
620,1053,1740,2,0
629,1091,1170,4,0
1371,445,2261,4,0
650,749,1835,3,1
915,758,2096,3,1
1390,1046,671,2,0
1077,1257,1062,5,0
1494,415,1838,3,0
986,575,2156,3,0
1055,1358,132,2,0
504,423,2842,3,0
689,871,1452,2,0
1477,618,2517,3,0
514,1520,1361,5,0
675,936,1308,5,1
635,1245,482,4,1
1011,507,680,4,1
1215,1016,552,4,1
1500,1560,2199,5,1
1327,1357,1484,3,0
1271,409,693,4,1
1368,769,206,4,1
826,1269,973,4,1
673,730,2285,3,1
570,692,2166,3,1
1477,1508,2894,5,0
1402,1270,894,5,1
1293,767,190,2,1
543,626,167,4,1
1011,530,2349,2,1
557,1464,818,3,0
920,1577,1494,3,0
1477,1092,260,4,1
672,1389,1664,3,0
1323,1065,2626,3,1
1096,883,386,5,1
1340,1350,1519,5,1
1498,570,2812,3,0
1169,1571,1318,3,0
1313,1373,148,2,1
1273,879,2499,2,0
1491,922,445,5,1
705,465,304,4,0
1321,900,2300,2,0
1131,1091,2940,4,1
1173,555,2602,5,1
679,523,1141,5,1
973,1137,2248,4,1
573,622,1412,4,0
900,1107,636,2,1
1320,1585,631,3,1
595,787,527,5,0
605,555,662,4,0
527,645,1036,5,1
1020,1300,2214,4,0
775,1579,2131,5,1
526,1394,2619,5,0
1430,1372,1292,2,0
805,540,1839,3,0
843,948,1859,2,0
1250,803,2330,2,0
615,1281,2135,5,1
1479,1263,2589,4,0
751,1524,1294,5,1
824,1399,2412,4,1
699,1042,506,4,0
550,483,405,5,1
1050,1477,1177,3,1
977,517,2449,5,0
1248,950,1041,5,0
756,1379,2979,3,1
789,1516,1717,2,0
1390,891,169,2,1
727,689,2730,3,0
549,546,1736,5,1
515,427,1156,5,1
1140,745,230,3,0
975,724,236,5,0
1401,700,2376,4,1
1319,738,2311,3,0
1101,494,984,3,1
1038,1061,505,4,0
1242,1186,1962,5,1
728,802,1638,2,1
1283,1476,1811,5,0
710,578,441,4,0
976,411,2586,5,1
1164,405,2047,5,0
1427,1106,332,3,0
1160,886,742,4,0
801,1276,2406,3,1
727,840,1518,3,0
560,1055,1824,3,1
950,431,635,4,0
1465,566,1415,3,1
511,816,1951,5,1
902,1180,2735,4,0
517,867,2844,5,1
944,699,206,4,0
993,835,494,2,0
993,602,1080,4,1
1178,411,2532,4,0
728,683,2944,2,0
1311,1127,1219,4,1
724,697,2359,5,0
1419,537,1198,5,0
1228,801,163,5,0
674,797,1890,3,1
1199,1100,553,2,0
1156,1498,2825,3,0
796,421,1683,5,0
760,887,483,2,0
773,1581,1054,5,1
1298,1089,972,4,0
705,908,727,3,1
780,717,2094,2,1
1074,1200,2613,2,1
807,971,2246,4,0
957,855,2375,2,1
1009,1527,2212,2,0
690,702,541,2,0
1297,927,162,2,1
663,1399,1877,3,0
915,1186,1786,2,0
1474,674,1065,3,1
1165,730,2371,4,0
1037,405,2451,5,1
696,807,472,5,0
881,1451,1464,5,1
909,828,1557,4,1
806,1321,1746,4,1
569,1124,1929,3,1
1327,607,1637,2,0
618,1201,2494,4,0
795,1513,2312,4,1
553,1005,2067,2,0
1103,968,1683,3,1
686,637,2191,2,1
766,1490,1608,4,1
800,1145,959,3,0
1209,485,468,3,0
874,1032,1645,5,1
1236,1390,1587,2,1
1178,1343,2474,4,0
1124,503,2792,4,1
750,1376,928,3,0
590,1391,1109,3,0
1326,483,1395,5,1
687,1551,2664,5,0
514,1202,1926,3,0
869,553,1333,4,0
1016,681,543,5,1
683,1191,894,4,1
1416,743,1649,5,0
518,586,835,5,1
1394,1161,426,4,1
1367,1194,2596,5,0
1062,670,1687,5,1
1415,1384,916,5,0
691,914,2727,4,0
1184,445,671,5,1
626,485,1940,4,1
1170,754,941,4,0
1107,515,1239,4,1
1284,560,1574,4,0
504,1168,1907,4,1
994,538,1778,2,0
576,1367,785,3,0
1088,1228,2731,3,0
750,1223,2102,2,1
1434,836,1652,3,1
1263,1169,1036,3,1
1045,1110,1840,3,0
1143,899,1341,3,1
923,534,1514,3,1
652,734,1563,4,0
1021,512,199,2,0
1029,400,579,5,1
710,925,2184,5,1
781,1252,2400,5,1
1045,1126,812,4,1
1357,819,2391,4,1
1208,731,308,4,0
1262,1337,2150,4,0
777,943,2406,3,0
986,583,2356,4,1
587,1100,406,4,1
819,1366,2850,5,1
804,1154,1786,4,0
1388,1323,2483,4,1
1143,402,343,2,0
972,557,2619,2,1
627,1407,1410,2,0
637,601,1395,3,1
1173,469,1876,5,0
1288,1567,841,3,0
636,1137,1819,3,1
1271,1308,273,3,0
873,1259,1249,2,1
683,892,2915,2,0
1258,1390,1575,4,1
808,1269,1312,5,0
1158,564,1865,5,1
1384,1502,316,3,1
754,717,2701,3,0
522,1137,605,5,0
762,544,2520,5,0
1152,553,2198,3,0
1082,478,665,2,0
1465,1147,2175,2,0
596,609,1331,3,1
1334,518,270,2,1
980,1084,1721,4,1
859,1545,1725,2,0
935,716,521,2,1
1089,816,1582,5,0
1116,1362,975,5,1
981,732,1461,4,1
1197,681,588,5,0
1215,920,470,5,1
520,1574,2028,5,0
740,634,1633,5,0
666,702,2576,4,1
1440,699,2038,5,1
833,669,701,3,1
512,1318,2548,2,0
534,1458,109,5,1
940,508,351,2,0
1243,592,1907,3,0
1123,1217,2035,3,0
551,838,2700,3,0
587,921,2718,2,1
629,459,221,3,0
585,1298,182,2,0
830,1360,1838,3,0
1327,883,2393,4,0
809,1186,226,2,1
1019,711,756,5,1
918,1565,2730,3,1
645,593,1494,4,1
1270,1171,2739,5,1
1018,973,2833,2,0
1398,683,390,2,0
566,1116,279,2,1
696,1028,231,3,0
712,1405,2407,2,0
815,664,2887,5,0
1400,1341,2488,2,0
706,1355,2368,2,0
818,1588,1611,2,0
647,1183,135,2,1
1160,1247,2380,5,0
600,614,1379,5,0
1064,1501,443,3,0
839,500,1206,4,1
1478,1259,1949,2,1
834,904,1770,5,0
1034,541,2201,4,0
1320,442,623,5,0
1290,714,2039,4,0
746,1281,2355,2,1
519,625,2605,4,0
574,1315,2194,5,1
529,1412,1719,5,1
1143,1477,764,4,1
1269,1469,1303,4,1
1402,1599,1318,3,1
1180,957,2897,2,0
885,671,2317,3,0
1368,550,1502,5,0
831,495,1229,2,1
1211,440,1052,3,1
631,631,156,4,1
538,530,2559,5,1
1298,1348,2761,3,0
512,1101,2703,4,0
1459,829,1422,2,0
1145,1220,1014,3,1
1317,1474,1795,4,1
1171,468,2461,4,1
1488,1389,2451,4,0
693,1259,2836,3,1
1418,1416,1511,5,0
941,526,1463,4,0
1260,882,346,3,1
801,587,2459,2,1
501,1539,1980,5,0
1004,1275,2285,4,0
1122,1421,1078,2,0
1336,456,2284,2,1
785,540,2501,4,1
689,699,1312,2,1
577,705,2714,5,0
1410,1474,2966,3,0
1009,1493,2830,5,0
1269,1475,2006,3,0
1276,587,2438,4,0
995,1059,2413,2,1
1087,1125,430,4,1
1462,1557,1013,3,1
830,1405,297,4,0
1385,597,529,5,1
1420,1374,2755,2,0
1139,943,1763,2,0
1178,718,427,4,0
554,834,679,2,0
1388,1021,1251,5,1
505,795,449,5,1
1016,994,1695,3,1
740,942,1762,3,0
864,679,2302,5,1
655,1527,2937,4,1
696,1390,689,2,0
1271,997,1010,4,0
784,877,513,3,0
737,1566,1756,3,0
880,1571,604,3,0
858,726,737,2,1
865,1410,2251,5,0
1462,1410,2846,2,1
1033,1400,1030,5,1
542,1090,1354,4,1
1165,807,1741,2,0
810,403,496,2,0
828,1091,1778,4,0
771,881,1968,3,0
1487,569,643,3,0
1490,618,504,3,0
1167,457,2191,3,0
865,684,2732,2,0
1469,716,2155,2,0
898,1399,2589,5,0
1247,1239,1745,3,0
1457,779,1474,4,1
1188,874,740,3,0
748,1426,1073,5,0
1071,674,2221,2,1
1123,477,2023,4,1
660,1217,882,5,1
1298,1442,2122,5,0
603,576,1464,2,1
1021,689,1898,5,1
668,776,1579,3,1
1064,1128,1304,2,0
1134,869,811,5,1
1277,1387,1183,4,1
761,1075,686,3,0
1470,523,2453,5,0
659,1323,904,2,0
1240,990,1640,4,0
1356,609,2952,5,1
1309,1463,1895,3,1
1125,1015,302,2,1
957,1185,657,4,0
740,611,745,2,0
1270,1174,2380,3,0
925,1158,1373,3,1
1086,1398,2758,5,0
812,1001,1195,4,0
1185,725,453,4,1
1455,545,2404,2,1
549,1209,1903,4,0
876,1572,517,3,1
1223,1422,2300,5,1
1388,815,691,3,1
1203,1301,760,4,0
834,1096,1476,5,0
1071,957,1081,4,1
1026,1331,2514,5,0
834,730,927,2,0
1389,506,2084,3,0
1064,760,786,4,0
1108,662,2473,4,0
1500,1582,968,2,0
1364,1072,1929,2,0
881,660,669,4,0
1218,477,1650,4,1
824,531,2468,2,0
1173,1187,781,2,0
1496,995,1052,2,0
974,1112,2431,5,0
822,410,2325,2,1
871,640,517,3,0
529,1241,2174,4,0
846,968,111,2,0
1420,1173,545,5,0
1467,1427,239,5,1
561,1127,2237,5,1
520,736,1934,3,0
1406,549,120,2,0
1179,1191,801,2,0
888,602,1765,3,0
1459,630,234,2,0
1048,1226,274,3,1
996,1500,2636,3,1
1041,1408,2043,2,0
1464,522,913,4,0
909,692,1998,4,0
554,514,362,4,1
1125,1557,452,4,1
1052,816,1164,4,1
1213,1372,185,2,1
1243,457,237,4,1
1156,775,1757,3,0
625,994,458,5,0
645,1293,1874,4,0
1403,669,1719,5,1
900,1427,2458,5,1
563,1132,2993,5,1
1362,948,2480,3,1
1439,1269,1847,3,0
1047,476,1007,2,1
1221,1289,1666,3,1
1245,468,701,5,0
685,962,282,3,0
544,722,1029,5,1
610,1498,499,5,1
1351,431,2759,2,1
1129,1350,1267,2,0
888,695,828,3,0
1198,1436,2469,5,0
906,664,1183,4,1
1095,1327,223,3,1
812,1379,1720,4,1
584,1570,1000,4,1
806,1106,2160,3,0
1426,985,2874,5,0
824,1587,2935,2,1
